State,Adherents
Alabama,2825785
Alaska,159353
Arizona,901350
Arkansas,1511409
California,4601277
Colorado,876026
Connecticut,514484
Delaware,169678
District Of Columbia,245938
Florida,5150996
Georgia,4076435
Hawaii,172276
Idaho,278479
Illinois,2554328
Indiana,1899175
Iowa,877634
Kansas,852475
Kentucky,1773389
Louisiana,1587007
Maine,150903
Maryland,1312842
Massachusetts,508118
Michigan,2021393
Minnesota,1469563
Mississippi,1608984
Missouri,1992257
Montana,199481
Nebraska,531849
Nevada,255670
New Hampshire,123822
New Jersey,1023866
New Mexico,331761
New York,2077719
North Carolina,4108603
North Dakota,247916
Ohio,3403772
Oklahoma,2031709
Oregon,646226
Pennsylvania,2718695
Rhode Island,85676
South Carolina,2148499
South Dakota,339420
Tennessee,3360195
Texas,8836350
Utah,85927
Vermont,82749
Virginia,2625377
Washington,1808608
West Virginia,544429
Wisconsin,1412944
Wyoming,89859
